Total protocol
Name	ID	Stages_scores	Total_score	Stage_rewards	Cup_reward	Total_reward	Link_to_athlete
Максим Китайгора	25398105	[60.127931769722814, 73.46698113207547]	133.5949129017983	[0.6618317352660642, 1.0877483522221614]	0.8434490641675365	2.593029151655762	https://www.strava.com/athletes/25398105
Galym Torgautov	2838672	[71.57360406091371, 63.96303901437371]	135.53664307528743	[0.7878149336035131, 0.9470334729819229]	0.8557081424671658	2.590556549052602	https://www.strava.com/athletes/2838672
Nazar Tareyev	2293724	[58.99581589958159, 73.81516587677726]	132.81098177635886	[0.6493704682840671, 1.09290355768293]	0.8384997291983995	2.5807737551653966	https://www.strava.com/athletes/2293724
Alexandr Morozov	14947180	[49.21465968586387, 81.75853018372703]	130.9731898695909	[0.5417086978006703, 1.2105126019480221]	0.826896863264144	2.5791181630128364	https://www.strava.com/athletes/14947180
Ruslan Kussepov	10560396	[61.572052401746724, 69.60893854748603]	131.18099094923275	[0.677727257292105, 1.0306263717144053]	0.8282088116186876	2.5365624406251976	https://www.strava.com/athletes/10560396
Ilyas Sarybekov	57311332	[51.553930530164536, 76.91358024691358]	128.46751077707813	[0.5674571916632251, 1.1387785218325839]	0.8110773036732967	2.517313017169106	https://www.strava.com/athletes/57311332
Stas Kalyuzhny	15667270	[54.335260115606935, 74.43249701314217]	128.7677571287491	[0.5980714524851332, 1.102043730805726]	0.8129729035792808	2.51308808687014	https://www.strava.com/athletes/15667270
Vyacheslav Tsoy	38693672	[56.96969696969697, 70.23675310033822]	127.20645007003519	[0.627068856241988, 1.0399217617636898]	0.8031156197280729	2.470106237733751	https://www.strava.com/athletes/38693672
Igor Baranov	9190102	[53.81679389312977, 72.35772357723577]	126.17451747036554	[0.5923646638163819, 1.07132474179372]	0.7966005319408969	2.4602899375509986	https://www.strava.com/athletes/9190102
Eugene Russo 🇰🇬	19689928	[56.17529880478088, 69.06873614190687]	125.24403494668775	[0.6183248682067413, 1.022628162621278]	0.7907259473719682	2.4316789781999875	https://www.strava.com/athletes/19689928
Ivan Sitnikov	9723424	[46.766169154228855, 75.69866342648845]	122.46483258071731	[0.51475801631805, 1.1207905257404531]	0.7731795035456748	2.4087280456041777	https://www.strava.com/athletes/9723424
Danik Shinibekov	21554319	[65.1270207852194, 59.16429249762583]	124.29131328284524	[0.7168570065583929, 0.8759834783327567]	0.7847109563941995	2.377551441285349	https://www.strava.com/athletes/21554319
Bakha Nurbaev	9869194	[45.853658536585364, 74.61077844311377]	120.46443697969914	[0.5047139574630636, 1.104683356508255]	0.7605500421313478	2.3699473561026663	https://www.strava.com/athletes/9869194
Umar Iminov	5673501	[58.02469135802469, 62.36236236236236]	120.38705372038706	[0.6386812424686916, 0.9233339366210139]	0.7600614843245324	2.322076663414238	https://www.strava.com/athletes/5673501
Madi Dos Barys KZ🇰🇿	13203198	[50.810810810810814, 67.13362068965517]	117.94443150046598	[0.5592776285401516, 0.9939769425478371]	0.7446400331572886	2.2978946042452773	https://www.strava.com/athletes/13203198
Timur Turgambayev	25369746	[44.97607655502392, 70.71509648127129]	115.69117303629521	[0.49505436019104315, 1.0470040893125911]	0.7304141266339658	2.2724725761376	https://www.strava.com/athletes/25369746
Anton Kolupayev	3680980	[58.75, 58.7181903864279]	117.46819038642789	[0.6466647579995503, 0.8693785133688905]	0.7416332935050923	2.2576765648735333	https://www.strava.com/athletes/3680980
George Budkov	10504112	[44.27001569858713, 70.31602708803612]	114.58604278662325	[0.48728270618490443, 1.0410954883571026]	0.7234369068085806	2.2518151013505876	https://www.strava.com/athletes/10504112
Slava Agis	25505101	[57.90554414784394, 58.44277673545966]	116.3483208833036	[0.637369782011877, 0.8653007529872352]	0.7345630176698571	2.2372335526689695	https://www.strava.com/athletes/25505101
Ablmansur Koben	31327652	[52.319109461966605, 62.05179282868526]	114.37090229065186	[0.575879561854887, 0.9187356600442159]	0.722078621181904	2.216693843081007	https://www.strava.com/athletes/31327652
Dmitriy Shamrilo	34850469	[46.22950819672131, 66.41791044776119]	112.6474186444825	[0.5088509571144001, 0.9833801734375189]	0.7111974383816416	2.2034285689335604	https://www.strava.com/athletes/34850469
Daniil Konuspayev	15629120	[50.08880994671403, 63.05668016194332]	113.14549010865736	[0.5513305219179113, 0.9336139703283329]	0.7143420035542365	2.1992864958004805	https://www.strava.com/athletes/15629120
Nurlan Tulukpaev	31894321	[55.18590998043053, 57.47232472324723]	112.65823470367776	[0.6074346063400864, 0.8509322902992553]	0.7112657253755704	2.169632622014912	https://www.strava.com/athletes/31894321
Ерхат Отепберген	8849137	[47.55480607082631, 61.37931034482759]	108.9341164156539	[0.5234385899490457, 0.9087789189008797]	0.6877535719809881	2.1199710808309136	https://www.strava.com/athletes/8849137
Ильдар Гинятуллин	43702417	[50.26737967914438, 58.44277673545966]	108.71015641460404	[0.5532960496252837, 0.8653007529872352]	0.6863396045686562	2.104936407181175	https://www.strava.com/athletes/43702417
Андрей Голоцевич	4934043	[42.792109256449166, 62.61306532663317]	105.40517458308233	[0.4710153017295662, 0.927045831843611]	0.6654736616046695	2.063534795177847	https://www.strava.com/athletes/4934043
Владимир Павлов	34526382	[44.40944881889764, 58.94039735099338]	103.34984616989101	[0.4888174548658017, 0.8726684982823018]	0.6524973828751234	2.0139833360232267	https://www.strava.com/athletes/34526382
Sanzhar S	14063877	[42.27886056971514, 59.052132701421804]	101.33099327113695	[0.465365942788282, 0.874322846146344]	0.639751391645669	1.979440180580295	https://www.strava.com/athletes/14063877
Марат Инербаев	17350177	[40.57553956834533, 58.115671641791046]	98.69121121013637	[0.44661738681983326, 0.8604576517578293]	0.6230851753909091	1.9301602139685716	https://www.strava.com/athletes/17350177
