Total protocolName	ID	Stages_scores	Total_score	Stage_rewards	Cup_reward	Total_reward	Link_to_athlete
Evgenia Tkacheva	35597461	[43.17673378076063]	43.17673378076063	[685.2755685910417]	2327.6728151192533	3012.9483837102953	https://www.strava.com/athletes/35597461
Svetlana Krassilnikova	29050741	[56.104651162790695]	56.104651162790695	[890.4598231401036]	3024.621361506704	3915.0811846468077	https://www.strava.com/athletes/29050741
Анастасия Донец	5967769	[60.124610591900314]	60.124610591900314	[954.2622403744414]	3241.3387799324187	4195.60102030686	https://www.strava.com/athletes/5967769
Madina Akbayeva	16374300	[60.97946287519747]	60.97946287519747	[967.8299499532247]	3287.424165429088	4255.254115382313	https://www.strava.com/athletes/16374300
Zhanar Terekbay	29487934	[66.20926243567753]	66.20926243567753	[1050.8342338257141]	3569.364488364687	4620.198722190401	https://www.strava.com/athletes/29487934
Marina Varibrus	20410204	[48.675914249684745, 53.838862559241704]	102.51477680892646	[772.555306835298, 1810.3067111440073]	5526.60746266278	8109.469480642085	https://www.strava.com/athletes/20410204
Nadia :P	4293910	[95.30864197530865, 67.2189349112426]	162.52757688655123	[1512.6823662231884, 2260.205420422399]	8761.9184986754	12534.806285320989	https://www.strava.com/athletes/4293910
Faina Potapova	29208031	[100.0, 76.34408602150538]	176.34408602150538	[1587.140824664226, 2567.034382065763]	9506.771337164311	13660.9465438943	https://www.strava.com/athletes/29208031
Ekaterina 🐎 Stepanova	15132446	[99.48453608247422, 100.0]	199.48453608247422	[1578.9596863927611, 3362.4534863678305]	10754.28109114536	15695.694263905953	https://www.strava.com/athletes/15132446
